/workspace/out/code/MIX_Symptom/checkpoints/model/20200430-1-120-R/net_10_0.pth
/workspace/out/code/MIX_Symptom/checkpoints/model/202004301-120-R/net_10_0.pth
(21536, 16)
sample - ['脘部胀满或疼痛', '腹', '脘部胀满'] 2 2 2
sample - ['心烦盗汗', '皮', '盗汗'] 1 1 1
sample - ['口噤神昏', '口', '口噤'] 1 1 1
sample - ['排尿灼热', '泌尿生殖', '排尿灼热'] 3 3 3
sample - ['胸闷脘痞', '腹', '脘痞'] 2 2 1
sample - ['睾丸抽痛', '生殖器', '睾丸抽痛'] 1 1 1
sample - ['小儿热积胃中', '腹', '胃中热'] 1 1 1
sample - ['颈部疼痛发硬', '肉', '颈部疼痛'] 2 2 1
sample - ['肢痛面黄', '皮', '面黄'] 1 1 1
sample - ['烦热口渴.', '皮', '烦热'] 1 1 1
sample - ['时有腿部抽筋', '筋', '抽筋'] 1 1 1
sample - ['困倦嗜睡', '肉', '困倦'] 2 2 1
sample - ['久不合口', '口', '口不合'] 3 3 2
sample - ['肛门瘙痒潮湿', '肛门', '肛门瘙痒'] 2 2 1
sample - ['焦躁不安', '情绪', '焦躁'] 1 1 1
sample - ['手汗出', '皮', '手汗出'] 5 5 5
sample - ['吐痰量多粘稠', '运化', '吐痰'] 2 2 2
sample - ['甚则胸闷泛恶', '胸', '胸闷'] 2 2 1
sample - ['腰酸腹痛', '腰', '腰酸'] 1 1 1
sample - ['冷热泪下', '目', '泪下'] 2 2 1
sample - ['伴有大便溏薄', '运化', '大便溏薄'] 22 22 22
sample - ['白天精神差', '神志', '精神差'] 1 1 1
sample - ['腰酸膝软', '肉', '膝软'] 2 2 1
sample - ['倦怠嗜睡', '神志', '嗜睡'] 1 1 1
sample - ['腰痠耳鸣', '耳', '耳鸣'] 2 2 1
sample - ['腰部及双下肢发凉', '皮', '发凉'] 1 1 1
sample - ['眼涩口噤', '口', '口噤'] 1 1 1
sample - ['憎寒头痛', '皮', '憎寒'] 1 1 1
sample - ['热前畏寒', '皮', '畏寒'] 1 1 1
sample - ['枕区头发脱落', '皮', '头发脱落'] 1 1 1
sample - ['走路跛行', '肉', '走路跛行'] 2 2 2
sample - ['身软神疲', '神志', '神疲'] 2 2 1
sample - ['行动不便', '肉', '行动不便'] 1 1 1
sample - ['身体壮热头痛', '头', '头痛'] 3 3 1
sample - ['晨起身痛', '肉', '身痛'] 1 1 1
sample - ['腹大青筋', '脉', '肚大青筋'] 28 28 26
sample - ['活动后腰痛减轻右小腿麻木', '皮', '麻木'] 1 1 1
sample - ['胸中犹隐隐痛', '胸', '胸中隐隐痛'] 1 1 1
sample - ['右手颤抖', '筋', '右手颤抖'] 4 4 4
sample - ['双目干涩刻下症见双小腿浮肿', '皮', '小腿浮肿'] 55 55 13
sample - ['眼睑痒极', '目', '眼睑痒'] 1 1 1
sample - ['劳累后左下肢疼痛麻木', '肉', '左下肢疼痛'] 3 3 1
sample - ['脘腹隐痛嘈杂', '运化', '嘈杂'] 4 4 3
sample - ['小便多', '泌尿生殖', '小便多'] 1 1 1
sample - ['头晕反复发作2006-1-11头晕持续20分钟不能缓解', '头', '头晕'] 1 1 1
sample - ['黑苔', '舌', '黑苔'] 1 1 1
sample - ['大汗淋漓头面如洗', '皮', '大汗淋漓'] 2 2 2
sample - ['眼睑烂痒', '目', '眼睑痒'] 1 1 1
sample - ['胃脘疼痛不适', '腹', '胃脘疼痛'] 4 4 3
sample - ['自觉瘙痒', '皮', '瘙痒'] 1 1 1
sample - ['腹痛乏力', '腹', '腹痛'] 1 1 1
sample - ['左胁胀闷', '胁', '左胁胀'] 7 7 5
sample - ['周身无力心悸眠差', '胸', '心悸'] 3 3 1
sample - ['腰胀腹胀', '腰', '腰胀'] 2 2 1
sample - ['小儿腹大羸瘦', '肉', '羸瘦'] 1 1 1
sample - ['发热口渴', '皮', '发热'] 2 2 1
sample - ['四肢消瘦', '肉', '四肢消瘦'] 2 2 2
sample - ['体倦盗汗', '肉', '体倦'] 1 1 1
sample - ['神衰力弱', '肉', '力弱'] 1 1 1
sample - ['或伴气短乏力', '呼吸', '气短'] 1 1 1
sample - ['痰涎喉痹', '咽喉', '喉痰'] 1 1 1
sample - ['胸中郁痛', '胸', '胸中痛'] 1 1 1
sample - ['后背疼', '肉', '后背疼'] 2 2 2
sample - ['有鼻塞', '鼻', '鼻塞'] 1 1 1
sample - ['痰量少带血', '泌尿生殖', '带血'] 2 2 2
sample - ['小便短少色深', '泌尿生殖', '小便短少'] 1 1 1
sample - ['多食即腹胀', '腹', '腹胀'] 1 1 1
sample - ['双眼痒', '皮', '痒'] 3 3 1
sample - ['上下肢单侧乏力', '肉', '乏力'] 2 2 2
sample - ['尿少', '泌尿生殖', '尿少'] 1 1 1
sample - ['小儿骨瘦面黄', '肉', '骨瘦'] 2 2 1
sample - ['尿赤发热', '皮', '发热'] 2 2 1
sample - ['头晕眼黑', '头', '头晕'] 1 1 1
sample - ['舌赤神昏', '舌', '舌赤'] 1 1 1
sample - ['头晕口干', '头', '头晕'] 1 1 1
sample - ['午后夜间易出汗', '皮', '出汗'] 1 1 1
sample - ['左側颜面麻木', '皮', '颜面麻木'] 1 1 1
sample - ['鼻不闻香臭', '鼻', '不闻香臭'] 1 1 1
sample - ['阴道出血淋漓不净', '生殖器', '阴道出血'] 1 1 1
sample - ['偶有外阴瘙痒', '生殖器', '外阴瘙痒'] 5 5 4
sample - ['阵作胸闷疼痛', '胸', '胸闷'] 1 1 1
sample - ['咽干口渴喜饮', '咽喉', '咽干'] 2 2 1
sample - ['哕', '运化', '哕'] 9 9 9
sample - ['食后胃脘隐痛', '腹', '胃脘隐痛'] 6 6 6
sample - ['颜面眼睑浮肿', '皮', '颜面眼睑浮肿'] 1 1 1
sample - ['双侧腹股沟淋巴结肿大如枣', '皮', '淋巴结肿大'] 2 2 2
sample - ['大便溏.', '运化', '大便溏'] 6 6 6
sample - ['伴面部浮肿', '皮', '面部浮肿'] 1 1 1
sample - ['心烦少寐', '情绪', '心烦'] 1 1 1
sample - ['心烦失眠', '神志', '失眠'] 1 1 1
sample - ['烦躁多梦', '神志', '多梦'] 2 2 1
sample - ['运动即出汗多', '皮', '出汗'] 1 1 1
sample - ['屈伸活动受限', '肉', '活动受限'] 1 1 1
sample - ['伴口苦咽干', '口', '口苦'] 1 1 1
sample - ['壮热咳嗽', '呼吸', '咳嗽'] 1 1 1
sample - ['嗅觉差', '鼻', '嗅觉差'] 3 3 1
sample - ['伴有胸闷胁胀', '胸', '胸闷'] 1 1 1
sample - ['咽喉瘙痒', '咽喉', '咽喉瘙痒'] 4 4 3
sample - ['身体肥胖', '肉', '身体肥胖'] 5 5 5
sample - ['经前心烦', '情绪', '心烦'] 1 1 1
sample - ['腰骶冷胀不适', '腰', '腰骶冷'] 2 2 2
sample - ['肛裂出血', '肛门', '肛裂'] 5 5 1
sample - ['项强痛', '筋', '项强'] 2 2 1
sample - ['后背皮肤出现搔痒', '皮', '搔痒'] 50 50 42
sample - ['夜间喘促', '呼吸', '喘促'] 1 1 1
sample - ['头痛身体壮热', '头', '头痛'] 6 6 1
sample - ['腹部胀满坠痛不适', '腹', '腹部胀满'] 1 1 1
sample - ['额前痛连眼眶', '头', '额前痛'] 1 1 1
sample - ['腹部剧痛', '腹', '腹部剧痛'] 5 5 5
sample - ['心烦面垢', '情绪', '心烦'] 1 1 1
sample - ['大便难解.', '运化', '大便难解'] 8 8 8
sample - ['胃纳不佳', '运化', '胃纳不佳'] 2 2 2
sample - ['间断腹痛', '腹', '腹痛'] 1 1 1
sample - ['自汗乏力', '皮', '自汗'] 2 2 1
sample - ['带黄粘稠', '泌尿生殖', '带黄'] 1 1 1
sample - ['而脉息无力', '脉', '脉息无力'] 1 1 1
sample - ['溲不畅', '泌尿生殖', '溲不畅'] 1 1 1
sample - ['时便出粘液', '运化', '便出粘液'] 1 1 1
sample - ['腰痠如折怕冷', '腰', '腰痠'] 3 3 2
sample - ['滑精遗精', '泌尿生殖', '遗精'] 2 2 2
sample - ['眼睑四肢浮肿', '皮', '四肢浮肿'] 6 6 6
sample - ['脘闷纳呆', '腹', '脘闷'] 2 2 1
sample - ['精神困倦', '神志', '精神困倦'] 1 1 1
sample - ['伴以头脑昏沉偶然双耳憋气', '呼吸', '憋气'] 25 25 1
sample - ['多疑妄听', '情绪', '多疑'] 1 1 1
sample - ['心慌等不适', '胸', '心慌'] 1 1 1
sample - ['睡眠梦多', '神志', '梦多'] 2 2 2
sample - ['小便色黄染尿布', '泌尿生殖', '小便色黄'] 1 1 1
sample - ['痰多口粘', '口', '口粘'] 1 1 1
sample - ['喉间痰鸣音', '咽喉', '喉间痰鸣'] 1 1 1
sample - ['曾有肉眼血尿', '泌尿生殖', '血尿'] 1 1 1
sample - ['平素性情急躁', '情绪', '性情急躁'] 2 2 2
sample - ['唇红干', '口', '唇红'] 1 1 1
sample - ['腰痛及左下肢疼痛', '肉', '左下肢疼痛'] 2 2 1
sample - ['伴下腹部胀满不适', '腹', '下腹部胀满'] 1 1 1
sample - ['背腰冷痛睡眠欠安', '神志', '睡眠欠安'] 3 3 2
sample - ['以致脑筋转拧疼痛', '头', '脑痛'] 7 7 1
sample - ['咳大量黄痰', '呼吸', '咳'] 1 1 1
sample - ['刻下头痛', '头', '头痛'] 1 1 1
sample - ['进食后腹痛', '腹', '腹痛'] 1 1 1
sample - ['食后上腹胀', '腹', '上腹胀'] 2 2 2
sample - ['项背强痛', '筋', '项背强'] 5 5 3
sample - ['上腭部痒', '皮', '痒'] 7 7 1
sample - ['时有恶寒.', '皮', '恶寒'] 1 1 1
sample - ['长喜叹气', '情绪', '叹气'] 1 1 1
sample - ['心痛', '胸', '心痛'] 1 1 1
sample - ['行路不稳', '肉', '行路不稳'] 4 4 4
sample - ['足尖不能活动', '肉', '不能活动'] 4 4 4
sample - ['口干溲赤', '泌尿生殖', '溲赤'] 2 2 1
sample - ['全身伴有气短乏力', '肉', '乏力'] 1 1 1
sample - ['饮后泛恶', '运化', '泛恶'] 1 1 1
sample - ['耳鸣腰酸腿软', '腰', '腰酸'] 1 1 1
sample - ['尿频', '泌尿生殖', '尿频'] 1 1 1
sample - ['尿黄赤', '泌尿生殖', '尿黄赤'] 1 1 1
sample - ['血糖控制一般2年前无明显诱因出现胸闷气短', '呼吸', '气短'] 10 10 1
sample - ['脘胁胀痛', '胁', '胁胀'] 1 1 1
sample - ['眠不安', '神志', '眠不安'] 1 1 1
sample - ['外阴轻微瘙痒', '皮', '瘙痒'] 6 6 1
sample - ['便溏泄泻', '运化', '便溏泄'] 6 6 6
sample - ['腹灼热辣痛', '腹', '腹灼热'] 1 1 1
sample - ['趾端麻木', '皮', '麻木'] 1 1 1
sample - ['左半身及双目发凉', '皮', '发凉'] 1 1 1
sample - ['伴活动不利', '肉', '活动不利'] 1 1 1
sample - ['下纯红色粘滞的血便', '运化', '血便'] 3 3 3
sample - ['喜静恶动', '情绪', '喜静恶动'] 1 1 1
sample - ['伴颜面', '皮', '颜面'] 1 1 1
sample - ['时觉口苦', '口', '口苦'] 1 1 1
sample - ['心热发惊', '情绪', '发惊'] 2 2 1
sample - ['小儿骨热肌瘦', '肉', '肌瘦'] 3 3 2
sample - ['面色萎黄少泽', '皮', '面色萎黄'] 1 1 1
sample - ['术后阴道流血30余天不净', '生殖器', '阴道流血'] 1 1 1
sample - ['阴道瘙痒', '生殖器', '阴道瘙痒'] 3 3 2
sample - ['左臂痛', '肉', '左臂痛'] 2 2 2
sample - ['心痛反复发作', '胸', '心痛'] 1 1 1
sample - ['身体壮热', '皮', '身体壮热'] 2 2 2
sample - ['眼干左膝疼', '目', '眼干'] 1 1 1
sample - ['吐痰涎及胃内容物', '运化', '吐痰涎'] 2 2 1
sample - ['或痰粘成块', '皮', '痰块'] 1 1 1
sample - ['两肋胀满', '胁', '两肋胀满'] 2 2 1
sample - ['已婚未孕困倦乏力纳主食少', '肉', '困倦乏力'] 2 2 1
sample - ['心前区疼痛伴闷压紧缩感', '胸', '心前区疼痛'] 1 1 1
sample - ['右侧肢体无力且疼痛', '肉', '肢体无力'] 7 7 4
sample - ['咳时头痛', '头', '头痛'] 1 1 1
sample - ['胸部紧闷', '胸', '胸紧闷'] 5 5 5
sample - ['红斑结节', '皮', '结节'] 1 1 1
sample - ['尿液混浊', '泌尿生殖', '尿液混浊'] 1 1 1
sample - ['面黄身倦', '肉', '身倦'] 3 3 1
sample - ['右膝酸困无力', '肉', '无力'] 1 1 1
sample - ['左躯干部皮肤潮红起疱', '皮', '皮肤潮红'] 1 1 1
sample - ['晨起时咳嗽', '呼吸', '咳嗽'] 1 1 1
sample - ['大便干燥.', '运化', '大便干燥'] 3 3 3
sample - ['胸闷气短小腹冷痛牵及腰骶部痠痛坠', '呼吸', '气短'] 2 2 1
sample - ['烘热出汗', '皮', '出汗'] 1 1 1
sample - ['不喜言语', '情绪', '不喜言语'] 5 5 1
sample - ['咳嗽则恶心想吐', '运化', '恶心'] 1 1 1
sample - ['左半侧肢体发凉', '皮', '发凉'] 1 1 1
sample - ['咳甚尿出', '呼吸', '咳'] 1 1 1
sample - ['咳嗽间作', '呼吸', '咳嗽'] 1 1 1
sample - ['痰多咳甚', '呼吸', '咳'] 1 1 1
sample - ['自觉怕冷', '皮', '怕冷'] 1 1 1
sample - ['头晕呕吐', '运化', '呕吐'] 2 2 2
sample - ['疲劳乏力', '肉', '疲劳乏力'] 1 1 1
sample - ['腹痛便溏涕多色黄有稀有稠睡时有鼾声', '运化', '便溏'] 1 1 1
sample - ['血从牙缝流出', '骨', '牙缝出血'] 1 1 1
sample - ['口臭肌热', '口', '口臭'] 1 1 1
sample - ['咳嗽痰多粘腻色白', '呼吸', '咳嗽'] 1 1 1
sample - ['乏力身重', '肉', '乏力'] 1 1 1
sample - ['头晕头颈转动则加剧', '头', '头晕'] 1 1 1
sample - ['颈肩部疼痛不适', '肉', '肩部疼痛'] 1 1 1
sample - ['口苦急躁', '口', '口苦'] 1 1 1
sample - ['体热心惊', '皮', '体热'] 1 1 1
sample - ['吐血崩漏', '泌尿生殖', '漏尿'] 89 89 11
sample - ['心悸气短', '胸', '心悸'] 1 1 1
sample - ['面红目赤', '目', '目赤'] 2 2 2
sample - ['畏光干涩', '目', '畏光'] 1 1 1
sample - ['腹痛心烦', '情绪', '心烦'] 2 2 1
sample - ['伴记忆力下降', '神志', '记忆力下降'] 1 1 1
sample - ['神情淡漠', '神志', '神情淡漠'] 1 1 1
sample - ['唇舌部震颤麻木', '筋', '震颤'] 7 7 1
sample - ['厌食', '运化', '厌食'] 1 1 1
sample - ['双手拇食中指麻木', '皮', '中指麻木'] 13 13 12
sample - ['苔黄', '舌', '苔黄'] 1 1 1
sample - ['牙齿虫疼痛', '骨', '牙齿疼痛'] 1 1 1
sample - ['痛连于脑', '头', '脑痛'] 1 1 1
sample - ['口干苦.', '口', '口干'] 1 1 1
sample - ['头痛微汗', '头', '头痛'] 1 1 1
sample - ['便溏腹痛', '腹', '腹痛'] 6 6 1
sample - ['胸闷痰黄稠', '胸', '胸闷'] 1 1 1
sample - ['二便调曾有潮热', '皮', '潮热'] 1 1 1
sample - ['迈步行走困难', '肉', '行走困难'] 2 2 2
sample - ['头晕腹痛', '头', '头晕'] 1 1 1
sample - ['自觉低热', '皮', '低热'] 1 1 1
sample - ['双腿侧筋抽痛', '筋', '筋抽'] 2 2 2
sample - ['头晕心宕', '胸', '心宕'] 184 184 8
sample - ['伴烧心泛酸', '运化', '泛酸'] 2 2 1
sample - ['腿疼麻木', '肉', '腿疼'] 3 3 1
sample - ['面黑耳枯', '皮', '面黑'] 1 1 1
sample - ['面色白透晦暗', '皮', '面色白'] 28 28 28
sample - ['怯冷', '皮', '怯冷'] 1 1 1
sample - ['左上肢肿明显', '皮', '左上肢肿'] 1 1 1
sample - ['睡眠精神差.', '神志', '精神差'] 2 2 2
sample - ['大便稀溏', '运化', '大便稀溏'] 1 1 1
sample - ['身倦', '肉', '身倦'] 1 1 1
sample - ['肛门下坠感', '肛门', '肛门下坠'] 1 1 1
sample - ['一身发黄', '皮', '一身发黄'] 3 3 3
sample - ['腰痠并冷', '皮', '冷'] 18 18 6
sample - ['风团瘙痒', '皮', '瘙痒'] 1 1 1
sample - ['小肠撮痛', '腹', '肠痛'] 1 1 1
sample - ['毛发不泽', '皮', '毛发不泽'] 1 1 1
sample - ['背部疼痛', '肉', '背部疼痛'] 1 1 1
sample - ['神识不清', '神志', '神识不清'] 2 2 2
sample - ['活动后易汗出', '皮', '汗出'] 1 1 1
sample - ['心动悸', '胸', '心动悸'] 2 2 2
sample - ['夜间醒来汗多', '皮', '汗多'] 1 1 1
sample - ['吐舌咂嘴', '舌', '吐舌'] 6 6 1
sample - ['咳嗽咯白粘咸痰', '呼吸', '咳嗽'] 1 1 1
sample - ['颊赤唇焦', '皮', '颊赤'] 1 1 1
sample - ['阴部胀闷', '生殖器', '阴部胀'] 1 1 1
sample - ['易头晕', '头', '头晕'] 1 1 1
sample - ['齿龈出血', '骨', '齿龈出血'] 3 3 2
sample - ['经常出汗', '皮', '出汗'] 1 1 1
sample - ['双侧臀腿疼痛', '肉', '腿疼痛'] 1 1 1
sample - ['尿短', '泌尿生殖', '尿短'] 1 1 1
sample - ['形体畏寒', '皮', '畏寒'] 1 1 1
sample - ['关内芤脉', '脉', '关脉芤'] 6 6 6
sample - ['眼生胬肉侵睛', '目', '眼生胬肉'] 1 1 1
sample - ['睡则多梦', '神志', '多梦'] 1 1 1
sample - ['纳呆神疲', '神志', '神疲'] 2 2 1
sample - ['肌肉疼痛明显', '肉', '肌肉疼痛'] 1 1 1
sample - ['形瘦', '肉', '形瘦'] 1 1 1
sample - ['心烦口干.', '情绪', '心烦'] 2 2 1
sample - ['咳甚则吐咽痒', '咽喉', '咽痒'] 1 1 1
sample - ['胆怯失眠', '神志', '失眠'] 2 2 1
sample - ['胃脘隐痛灼热', '腹', '胃脘隐痛'] 4 4 4
sample - ['咳痰量多质稠', '呼吸', '咳痰'] 1 1 1
sample - ['有时白带酱色带并臭秽', '泌尿生殖', '白带'] 3 3 3
sample - ['晨起尿黄', '泌尿生殖', '尿黄'] 1 1 1
sample - ['偶有情绪烦躁', '情绪', '烦躁'] 1 1 1
sample - ['双小腿酸胀乏力', '肉', '乏力'] 1 1 1
sample - ['动则汗出纳差', '皮', '汗出'] 1 1 1
sample - ['唇白面黄', '口', '唇白'] 5 5 1
sample - ['腹痛多渴', '口', '口渴'] 5 5 3
sample - ['手足冷.', '皮', '手足冷'] 2 2 2
sample - ['汗液发粘', '皮', '汗液'] 1 1 1
sample - ['遗精便浊', '泌尿生殖', '便浊精遗'] 3 3 3
sample - ['心累气短', '呼吸', '气短'] 1 1 1
sample - ['眼冒金星', '目', '眼冒金星'] 1 1 1
sample - ['怯冷腰酸', '腰', '腰酸'] 1 1 1
sample - ['胁痛不适', '胁', '胁痛'] 1 1 1
sample - ['左侧颈项强痛', '筋', '颈项强'] 4 4 3
sample - ['尿频数而痛', '泌尿生殖', '尿频数'] 1 1 1
sample - ['心慌多汗', '胸', '心慌'] 1 1 1
sample - ['吐血并嗽血', '呼吸', '嗽血'] 2 2 1
sample - ['脉濡', '脉', '脉濡'] 1 1 1
sample - ['经前肿块增大', '皮', '肿块'] 1 1 1
sample - ['心下满胀', '腹', '心下满胀'] 1 1 1
sample - ['气短声低', '神志', '声低'] 1 1 1
sample - ['浮肿乏力', '肉', '乏力'] 1 1 1
sample - ['多汗肢软', '肉', '肢软'] 5 5 1
sample - ['肢体倦怠', '肉', '肢体倦怠'] 1 1 1
sample - ['平素便溏', '运化', '便溏'] 1 1 1
sample - ['无力排便', '肉', '无力'] 1 1 1
sample - ['运动障碍', '肉', '运动障碍'] 1 1 1
sample - ['头痛颊赤', '皮', '颊赤'] 1 1 1
sample - ['便后腹痛减轻', '腹', '腹痛'] 1 1 1
sample - ['咳嗽有痰色黄', '呼吸', '咳嗽'] 1 1 1
sample - ['颈软无力', '肉', '无力'] 1 1 1
sample - ['手关节痛', '骨', '手关节痛'] 1 1 1
sample - ['双侧甲状腺肿大', '皮', '甲状腺肿大'] 1 1 1
sample - ['咽干耳鸣', '咽喉', '咽干'] 1 1 1
sample - ['燥屎存于腹内作痛', '运化', '燥屎'] 5 5 1
sample - ['头痛痛以两侧为著', '头', '头痛'] 1 1 1
sample - ['低热二年', '皮', '低热'] 1 1 1
sample - ['少腹挟寒', '腹', '少腹寒'] 8 8 8
sample - ['头重眩晕', '头', '头重'] 3 3 3
sample - ['行动受限', '肉', '行动受限'] 1 1 1
sample - ['左腕疼痛略肿', '骨', '肿'] 8 8 1
sample - ['双下肢指凹性水肿', '皮', '水肿'] 2 2 2
sample - ['并牵引少腹坠胀不舒', '腹', '少腹坠'] 3 3 3
sample - ['焦虑多汗', '皮', '多汗'] 1 1 1
sample - ['脘胁疼痛', '肉', '胁疼痛'] 1 1 1
sample - ['偏食', '运化', '偏食'] 1 1 1
sample - ['患偏头疼', '头', '偏头疼'] 2 2 2
sample - ['额汗自出', '皮', '额汗'] 3 3 3
sample - ['咳而遗尿', '呼吸', '咳'] 2 2 1
sample - ['间断性失眠', '神志', '失眠'] 1 1 1
sample - ['眠不实', '神志', '眠不实'] 1 1 1
sample - ['彻夜不寐', '神志', '彻夜不寐'] 1 1 1
sample - ['力乏气促', '呼吸', '气促'] 3 3 1
sample - ['伴有咳嗽', '呼吸', '咳嗽'] 1 1 1
sample - ['舌红', '舌', '舌红'] 1 1 1
sample - ['反复乏力', '肉', '乏力'] 1 1 1
sample - ['盗汗腹痛', '腹', '腹痛'] 2 2 1
sample - ['晨起时咳粘稠黄痰', '呼吸', '咳'] 1 1 1
sample - ['不渴', '口', '不渴'] 1 1 1
sample - ['流黄涕', '鼻', '流黄涕'] 1 1 1
sample - ['背部发凉', '皮', '背部发凉'] 2 2 2
sample - ['伴头晕乏力', '肉', '乏力'] 2 2 1
sample - ['腹部及腰背部疼痛', '肉', '背部疼痛'] 7 7 1
sample - ['嗳气腹胀', '运化', '嗳气'] 1 1 1
sample - ['食纳乏味', '运化', '食纳乏味'] 2 2 2
sample - ['呕吐食物及苦水', '运化', '呕吐'] 2 2 2
sample - ['哭笑无常', '神志', '哭笑无常'] 2 2 1
sample - ['左侧肢体麻木', '皮', '左侧肢体麻木'] 2 2 2
sample - ['双下肢皮肤瘙痒', '皮', '皮肤瘙痒'] 2 2 2
sample - ['腰酸且痛', '腰', '腰酸'] 1 1 1
sample - ['口苦耳鸣', '耳', '耳鸣'] 2 2 1
sample - ['痰多咳吐不爽', '运化', '吐'] 5 5 2
sample - ['气促,体温反低', '呼吸', '气促'] 1 1 1
sample - ['经期少腹作痛', '腹', '少腹作痛'] 11 11 11
sample - ['伴弯腰活动受限', '肉', '活动受限'] 1 1 1
sample - ['下肢胀', '肉', '下肢胀'] 9 9 5
sample - ['足冷口噤', '皮', '足冷'] 2 2 1
sample - ['腹中有物状包块', '皮', '包块'] 1 1 1
sample - ['晨起咳痰', '呼吸', '咳痰'] 2 2 2
sample - ['头痛呈持续性疼痛', '头', '头痛'] 1 1 1
sample - ['阴痿阴汗', '泌尿生殖', '阴痿'] 1 1 1
sample - ['口干失眠', '神志', '失眠'] 1 1 1
sample - ['腰酸胀沉', '腰', '腰酸'] 1 1 1
sample - ['肛肿', '骨', '肿'] 42 42 4
sample - ['夜不能寐动则气喘特甚', '神志', '夜不能寐'] 1 1 1
sample - ['肛门灼热感', '肛门', '肛门灼热'] 2 2 1
sample - ['经来腹痛伴经前乳胀', '腹', '腹痛'] 1 1 1
sample - ['鼻干口渴欲饮', '鼻', '鼻干'] 2 2 1
sample - ['腹泻腹痛', '腹', '腹痛'] 1 1 1
sample - ['烦热', '皮', '烦热'] 1 1 1
sample - ['右足趾麻木', '皮', '麻木'] 1 1 1
sample - ['欲嗳气而不能', '运化', '嗳气'] 1 1 1
sample - ['双手胀麻', '口', '麻'] 4 4 1
sample - ['曾有发热', '皮', '发热'] 1 1 1
sample - ['腹泻肠鸣而急痛', '腹', '肠鸣'] 2 2 2
sample - ['腹大筋青', '脉', '肚大筋青'] 18 18 16
sample - ['中脘宿冷', '腹', '脘冷'] 1 1 1
sample - ['睡卧不安胃膈闷满', '神志', '睡卧不安'] 2 2 2
sample - ['少气乏力', '肉', '乏力'] 1 1 1
sample - ['右胁部胀闷不适', '胁', '右胁部胀'] 4 4 4
sample - ['腹痛呃逆', '运化', '呃逆'] 1 1 1
sample - ['胸闷易怒', '情绪', '易怒'] 3 3 2
sample - ['伴小腹痛', '腹', '小腹痛'] 2 2 2
sample - ['反复腰酸乏力', '肉', '乏力'] 2 2 1
sample - ['全身肌肉疼痛', '肉', '全身肌肉疼痛'] 1 1 1
sample - ['腰骶酸困痛', '腰', '腰骶酸'] 2 2 2
sample - ['肿块', '皮', '肿块'] 1 1 1
sample - ['胃疼', '腹', '胃疼'] 1 1 1
sample - ['喘躁眼赤', '目', '眼赤'] 1 1 1
sample - ['唇甲青紫', '筋', '甲青紫'] 1 1 1
sample - ['腹内刺痛', '腹', '腹痛'] 1 1 1
sample - ['腹痛膝软', '腹', '腹痛'] 1 1 1
sample - ['偶有泛酸烧心', '运化', '泛酸'] 1 1 1
sample - ['经前腰胀', '腰', '腰胀'] 1 1 1
sample - ['磨牙吐弄舌', '舌', '吐弄舌'] 3 3 2
sample - ['排尿点滴乏力', '肉', '乏力'] 1 1 1
sample - ['便秘溲赤', '泌尿生殖', '溲赤'] 1 1 1
sample - ['有肩背部抽掣痛', '筋', '抽掣'] 12 12 1
sample - ['伴有胸闷腹胀', '胸', '胸闷'] 1 1 1
sample - ['疲倦.', '肉', '疲倦'] 1 1 1
sample - ['咳如痉', '呼吸', '咳'] 1 1 1
sample - ['失音', '神志', '失音'] 1 1 1
sample - ['口干苦欲饮', '口', '口干'] 1 1 1
sample - ['不思食', '运化', '不思食'] 1 1 1
sample - ['带有咳嗽', '呼吸', '咳嗽'] 1 1 1
sample - ['身体稍消瘦', '肉', '消瘦'] 5 5 5
sample - ['面萎黄', '皮', '面萎黄'] 1 1 1
sample - ['嗳气时轻时重', '运化', '嗳气'] 1 1 1
sample - ['四肢厥冷腰酸', '皮', '四肢厥冷'] 4 4 3
sample - ['神软乏力', '肉', '乏力'] 1 1 1
sample - ['左侧胸前区疼痛', '胸', '胸前区疼痛'] 2 2 1
sample - ['胸闷气闭', '胸', '胸闷'] 1 1 1
sample - ['脘胁胀满', '胁', '胁胀满'] 1 1 1
sample - ['狂嚏不止', '鼻', '嚏'] 2 2 2
sample - ['空腹嘈痛喜按', '运化', '嘈'] 26 26 5
sample - ['牙根浮动头晕腰痛', '骨', '牙根浮动'] 2 2 1
sample - ['失眠时要服安眠药才能入睡', '神志', '失眠'] 1 1 1
sample - ['伴屈伸不利', '肉', '屈伸不利'] 1 1 1
sample - ['腹痛泻痢', '运化', '泄泻'] 1 1 1
sample - ['头发干枯', '皮', '头发干枯'] 3 3 3
sample - ['热退后汗出', '皮', '汗出'] 2 2 2
sample - ['偶有粘液便', '运化', '粘液便'] 1 1 1
sample - ['咯白粘痰胸闷', '胸', '胸闷'] 1 1 1
sample - ['脐下疼痛', '腹', '脐下疼痛'] 1 1 1
sample - ['行经小腹疼痛', '腹', '小腹疼痛'] 2 2 2
sample - ['胸闷头晕', '头', '头晕'] 1 1 1
sample - ['肛门边有核痛', '肛门', '肛门痛'] 1 1 1
sample - ['腰酸膝凉', '腰', '腰酸'] 1 1 1
sample - ['头痛身疼', '肉', '身疼痛'] 1 1 1
sample - ['下肢疼痛', '肉', '下肢疼痛'] 3 3 3
sample - ['手指尖麻', '口', '麻'] 8 8 1
sample - ['皆缘乳汁不行', '乳房', '乳汁不行'] 2 2 1
